Date,Open,High,Low,Close,Volume
2017-02-02 10:40:00,800.58,800.58,800.3,800.3,2486
2017-02-02 10:41:00,800.69,800.69,800.69,800.69,100
2017-02-02 10:42:00,800.655,800.69,800.5,800.69,768
2017-02-02 10:43:00,800.5,800.51,800.5,800.5,700
2017-02-02 10:44:00,800.48,800.5,800.0,800.46,4795
2017-02-02 10:45:00,800.02,800.2861,800.02,800.22,2060
2017-02-02 10:46:00,799.8064,800.14,799.74,800.01,2555
2017-02-02 10:47:00,799.4903,799.94,799.44,799.91,2500
2017-02-02 10:48:00,799.77,799.93,799.4451,799.55,1250
2017-02-02 10:49:00,800.13,800.27,800.03,800.21,1364
2017-02-02 10:50:00,799.89,799.89,799.89,799.89,100
2017-02-02 10:51:00,800.66,800.75,800.1092,800.1092,851
2017-02-02 10:52:00,800.04,800.5639,800.04,800.46,415
2017-02-02 10:53:00,800.07,800.07,800.0,800.0,200
2017-02-02 10:54:00,799.63,799.92,799.63,799.92,1000
2017-02-02 10:55:00,799.5588,799.67,799.52,799.67,1071
2017-02-02 10:56:00,799.7543,800.39,799.31,799.41,10129
2017-02-02 10:57:00,800.49,800.49,800.36,800.36,200
2017-02-02 10:58:00,800.814,800.814,800.72,800.72,1050
2017-02-02 10:59:00,801.32,801.34,800.85,800.9,5651
2017-02-02 11:00:00,801.36,801.48,801.0559,801.36,5299
2017-02-02 11:01:00,801.15,801.7,801.09,801.21,3309
2017-02-02 11:02:00,801.1493,801.1874,801.0878,801.0878,890
2017-02-02 11:03:00,801.23,801.35,801.06,801.35,1361
2017-02-02 11:04:00,801.3767,801.3767,801.24,801.24,2049
2017-02-02 11:05:00,801.02,801.3739999999999,801.02,801.3739999999999,1000
2017-02-02 11:06:00,800.23,800.6935,800.23,800.6935,700
2017-02-02 11:07:00,800.21,800.46,800.21,800.21,800
2017-02-02 11:08:00,800.4,800.4,800.09,800.21,2894
2017-02-02 11:09:00,800.4253,800.4547,800.4253,800.4547,443
2017-02-02 11:10:00,800.51,800.51,800.42,800.42,423
2017-02-02 11:11:00,800.62,800.62,800.43,800.57,3662
2017-02-02 11:12:00,800.6114,800.68,800.49,800.62,1620
2017-02-02 11:13:00,800.8,800.915,800.6110000000001,800.78,1150
2017-02-02 11:14:00,800.4,800.92,800.34,800.87,4393
2017-02-02 11:15:00,800.5447,800.58,800.45,800.45,1448
2017-02-02 11:16:00,800.6269,800.72,800.6075,800.72,921
2017-02-02 11:17:00,800.4994,800.53,800.4994,800.53,605
2017-02-02 11:18:00,800.37,800.6489999999999,800.35,800.45,1002
