ticker,timestamp,120_before_vol,60_before_vol,30_before_vol,10_before_vol,5_before_vol,5_after_vol,10_after_vol,30_after_vol,60_after_vol,120_after_vol,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range,Cat10,Cat2
BRCD,8/21/14 05:30,0.015476059,0.013513201,0.009343575,0.006423991,0.004472136,0,0,0,0,0,0.171752,0.118822,0.110802,0.599821,0.23726,0,0,0.628018,0.512286,0.672088,0.883693,0.798285,0.495288,120_before,before
BRCD,5/17/12 05:30,0.010519183,0.008286177,0.007710643,0.006770032,0.006519202,0.018574176,0.015196816,0.020543434,0.042945612,0.035643797,0.218332,0.150908,0.152592,0.574846,0.253276,0.703065,0,0.593262,0.570951,0.742804,0.818631,0.846743,0.514119,60_after,after
BRCD,11/23/15 05:30,0.022252244,0.016623744,0.018311638,0.019002924,0.007071068,0,0,0,0,0,0.168497,0.111915,0.107977,0.616318,0.249117,0.772617,0,0.599071,0.53556,0.656157,0.864411,0.768733,0.503089,120_before,before
BRCD,8/25/16 17:30,0.044539225,0.04023822,0.026213212,0.008644202,0.01,0,0,0,0,0,0.170267,0.09779,0.120765,0.600295,0.243703,0.742282,0,0.322665,0.557316,0.702974,0.888262,0.75425,0.536267,120_before,before
BRCD,11/18/13 05:30,0.00498387,0.004965814,0.002626251,0.001581139,0.002236068,0,0,0,0,0,0.185379,0.112323,0.143813,0.599503,0.237071,0.693779,0,0.490722,0.509646,0.813404,0.819175,0.83225,0.578277,120_before,before
BRCD,2/14/13 17:00,0.019627133,0.008141521,0.008996059,0.009189366,0.009746794,0.047749346,0.052288058,0.040587387,0.047204702,0.038953294,0.181275,0.126271,0.140291,0.615245,0.493513,0.696749,0,0.549189,0.528113,0.74419,0.903683,0.852214,0.534239,10_after,after
BRCD,11/19/12 05:30,0.010910635,0.011531632,0.005593921,0.008140434,0.010009995,0.009950276,0.016544674,0.024764796,0.032591077,0.042974722,0.199419,0.137454,0.15924,0.568528,0.250117,0.712537,0,0.406064,0.529511,0.804554,0.830899,0.837761,0.626207,120_after,after
BRCD,8/16/12 05:30,0.007082712,0.006691591,0.008170615,0.011097592,0.012247449,0.010606602,0.009292918,0.014584287,0.03459844,0.032527609,0.193164,0.125485,0.151876,0.584052,0.237872,0.763737,0,0.471867,0.590094,0.762792,0.845705,0.909485,0.513555,60_after,after
BRCD,5/16/13 05:30,0.004138818,0.003896353,0.00378218,0.00298189,0.003528456,0.005123475,0.006927401,0.013767111,0.011122507,0.038739216,0.191247,0.11742,0.144792,0.582478,0.253355,0.716506,0,0.500223,0.556063,0.701238,0.856446,0.831803,0.499786,120_after,after
BRCD,11/24/14 05:30,0.056945561,0.043796305,0.011122544,0.004835161,0.002225309,0,0,0,0,0,0.157732,0.102152,0.120578,0.63299,0.231764,0.792603,0,0.548918,0.478839,0.705,0.886491,0.714333,0.623059,120_before,before
BRCD,2/19/15 05:30,0.040021654,0.03174917,0.02958366,0.007527727,0.006708204,0,0,0,0,0,0.167942,0.112789,0.123613,0.631476,0.237318,0.756241,0,0.522321,0.500707,0.702343,0.912547,0.796334,0.546053,120_before,before
BRCD,5/22/14 05:30,0.024499158,0.007356887,0.002805872,0.001581139,0,0,0,0,0,0,0.167862,0.108364,0.118079,0.620834,0.514876,0.81186,0,0.507973,0.473134,0.753959,0.904961,0.793739,0.644683,120_before,before
BRCD,5/21/15 05:30,0.04047334,0.01803844,0.013421761,0.00944281,0.009082951,0,0,0,0,0,0.191801,0.129474,0.155932,0.217766,0.287613,0.724929,0,0.563104,0.489981,0.702662,0.918993,0.840624,0.518138,120_before,before
BRCD,2/17/16 05:30,0.065355191,0.033635847,0.014481294,0.015467561,0.004433058,0,0,0,0,0,0.189251,0.142859,0.154806,0.569869,0.264401,0.751785,0,0.479199,0.492436,0.688411,0.938318,0.870404,0.572339,120_before,before
BRCD,8/13/13 05:30,0.011478138,0.011239185,0.006814454,0.011352924,0.008944272,0.013274035,0.015073524,0.013634842,0.018489314,0.026386239,0.194375,0.120292,0.15069,0.567689,0.260999,0.693652,0,0.444483,0.528756,0.745712,0.860528,0.838912,0.495121,120_after,after
BRCD,2/21/12 05:30,0,0,0,0,0,0.008682626,0.009859462,0.010016527,0.013894526,0.029797857,0.200793,0.141603,0.146215,0.567509,0.237937,0.754001,0,0.599225,0.567143,0.77213,0.864062,0.893064,0.485597,120_after,after
BRCD,11/21/11 05:30,0.020463195,0.014885966,0.011201644,0.006324555,0.005700877,0.014832397,0.015855248,0.027156816,0.054527885,0.049192149,0.17982,0.121199,0.148892,0.58343,0.240331,0.698985,0,0.503899,0.604015,0.71481,0.828889,0.861804,0.462315,60_after,after
CMCSA,4/22/14 08:30,0.099927338,0.037663791,0.016342239,0.015731412,0.016807736,0,0,0,0,0,0.186357,0.104733,0.112694,0.586363,0.252583,0.617626,0,0.173813,0.217605,0.752956,0.879319,0.781909,0.752113,120_before,before
CMCSA,7/22/14 08:30,0.053884577,0.041092372,0.028579391,0.014181365,0.015165751,0,0,0,0,0,0.179991,0.122647,0.101897,0.596621,0.231357,0.504052,0.310339,0,0.431798,0.837484,0.930418,0.819439,0.745259,120_before,before
CMCSA,11/2/11 08:30,0.072953557,0.086066711,0.11676002,0.015420045,0.009082951,0.084068425,0.075173873,0.103844328,0.156953102,0.125934721,0.191403,0.144706,0.161848,0.219655,0.529884,0.584166,0.380528,0,0.394227,0.851488,0.887411,0.917509,0.75374,60_after,after
CMCSA,8/1/12 08:30,0.050737578,0.036554688,0.022894978,0.021340751,0.027386128,0.099874922,0.079667713,0.116331214,0.094946632,0.105556646,0.206197,0.145011,0.097096,0.530957,0.257762,0.543413,0.70272,0,0.372026,0.808727,0.948759,0.847272,0.786393,30_after,after
CMCSA,10/26/16 20:30,0.158926084,0.064810434,0.048340759,0.013152524,0.015247951,0,0,0,0,0,0.172489,0.133392,0.145149,0.577073,0.288494,0.684637,0,0.032131,0.459038,0.686933,0.944884,0.854494,0.68245,120_before,before
CMCSA,2/3/16 08:30,0.117189998,0.107898334,0.116836677,0.044981478,0.051185936,0,0,0,0,0,0.174225,0.140812,0.117432,0.587916,0.237451,0,0,0.460885,0.419789,0.90656,0.979426,0.950014,0.772152,120_before,before
CMCSA,4/27/16 08:30,0.03495737,0.035399081,0.034914411,0.03734598,0.018574176,0,0,0,0,0,0.191314,0.136756,0.137591,0.5515,0.251184,0.624008,0,0.261921,0.487292,0.895989,0.976324,0.953565,0.773483,10_before,before
CMCSA,1/26/17 08:30,0.137860092,0.088640686,0.049977294,0.021915241,0.022192341,0,0,0,0,0,0.159903,0.118634,0.12913,0.579797,0.265089,0.376987,0,0.142279,0.496373,0.860914,0.920957,0.849909,0.703981,120_before,before
CMCSA,2/15/12 08:30,0.080761301,0.091291635,0.066488621,0.031714876,0.026925824,0.188494032,0.155464358,0.102304481,0.082211437,0.077917358,0.166796,0.139801,0.155857,0.568767,0.272074,0.574898,0,0.088831,0.471819,0.926743,0.933179,0.952995,0.777453,5_after,after
CMCSA,5/1/13 08:30,0.045163073,0.05566691,0.052528985,0.045995169,0.008944272,0.150913883,0.148720469,0.136116394,0.142858243,0.148037181,0.180636,0.138095,0.10996,0.623503,0.2702,0.687651,0.080617,0,0.53938,0.76602,0.953322,0.870544,0.755535,5_after,after
CMCSA,10/23/14 08:30,0.13389505,0.093697037,0.069931954,0.045980793,0.041289224,0,0,0,0,0,0.14711,0.109843,0.09509,0.629112,0.18788,0.714752,0,0.001035,0.446267,0.793222,0.89188,0.840163,0.775824,120_before,before
